                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.52493,                0.99667,                 1.0454,                0.79556,                0.54271,                0.59224,                0.47501,                 1.3749,                 2.1311,                 1.2719,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                0.48533,                0.83305,                0.94606,                0.79556,                0.54271,                0.59224,                0.47501,                 1.3749,                 2.1311,                 1.2719,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                  0.626,                0.92748,                 1.1453,                 0.7592,                0.54779,                0.58769,                0.46706,                 1.3871,                 2.1689,                 1.2774,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                0.62369,                 1.0314,                 1.0761,                 0.7592,                0.54779,                0.58769,                0.46706,                 1.3871,                 2.1689,                 1.2774,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                0.58645,                0.89461,                0.99204,                 0.7592,                0.54779,                0.58769,                0.46706,                 1.3871,                 2.1689,                 1.2774,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                0.49052,                0.74329,                 1.0308,                0.76186,                0.54438,                 0.5878,                0.46693,                 1.3825,                 2.1856,                 1.2762,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                0.68407,                 1.1246,                 1.1901,                0.76186,                0.54438,                 0.5878,                0.46693,                 1.3825,                 2.1856,                 1.2762,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                0.50271,                0.79929,                 1.0454,                0.76186,                0.54438,                 0.5878,                0.46693,                 1.3825,                 2.1856,                 1.2762,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                0.48457,                0.79369,                0.96083,                 0.7522,                0.55353,                0.58738,                0.46657,                 1.3801,                 2.2076,                 1.2806,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                0.67434,                0.88641,                 1.1813,                 0.7522,                0.55353,                0.58738,                0.46657,                 1.3801,                 2.2076,                 1.2806,             1.6833e-05,             1.6833e-05,             1.6833e-05
